"USERID","AGE","GENDER","AREA","JOB","INCOME","EDUCATION","FAMILY","INTEREST","DEVICE"
"41467f4d-fdf9-4aaf-b517-8918cff09436","65+","その他","東京都","エンジニア","500-700万円","専門学校卒","既婚","ガーデニング","PC中心"
"e950d60f-044c-48c7-94df-25e64f0bcc94","35-44","男性","福井県","主婦","300-500万円","専門学校卒","独身","音楽","マルチデバイス"
"6336af97-4abe-437c-bf88-fc244ab78b4a","25-34","女性","徳島県","公務員","1000万円以上","大卒","子供あり","読書","PC中心"
"5bd33bf2-646b-4fcf-ab74-d831a9acfd6a","35-44","女性","栃木県","無職","300-500万円","専門学校卒","既婚","ファッション","マルチデバイス"
"212a2328-8bde-43af-9b63-03bf0ccf50d7","18-24","男性","長野県","弁護士","500-700万円","専門学校卒","子供あり","テクノロジー","スマホ中心"
"6caa8102-42b7-43a8-899a-df8a0814f943","55-64","男性","徳島県","デザイナー","1000万円以上","大学院卒","独身","料理","PC中心"
"dd6921b3-cfd5-400d-b7ce-5d77a10da76e","65+","男性","和歌山県","学生","300万円未満","大卒","既婚","ファッション","スマホ中心"
"f8f555e8-350d-4d12-a5fb-e9c944d75b35","25-34","男性","三重県","弁護士","1000万円以上","大卒","既婚","ペット","マルチデバイス"
"a47fc749-7145-4716-9472-78603b127db4","35-44","男性","大分県","アーティスト","1000万円以上","大卒","子供あり","テクノロジー","マルチデバイス"
"36163159-1744-488b-aa87-ae5917c6780c","35-44","その他","山口県","研究者","1000万円以上","大卒","子供あり","料理","マルチデバイス"
"2718e0dd-6fc4-4dd6-904d-274a22d3d380","35-44","その他","埼玉県","主婦","500-700万円","大学院卒","既婚","投資","スマホ中心"
"516545f3-875b-49fb-ab0d-fd945267d1f9","25-34","その他","大阪府","会社員","300万円未満","大学院卒","既婚","音楽","マルチデバイス"
"d7bae6c2-f46a-487e-a4f0-673d689eebb7","65+","女性","佐賀県","フリーランス","300万円未満","大学院卒","既婚","テクノロジー","マルチデバイス"
"1891d317-0888-49a5-9cfd-7940688e0ead","25-34","男性","新潟県","学生","700-1000万円","高卒","子供あり","映画鑑賞","PC中心"
"f3ecbfd6-591f-442e-93ea-574a1bfd629b","35-44","女性","宮崎県","経営者","500-700万円","大学院卒","既婚","料理","PC中心"
"0fda759b-e66e-41aa-9eb6-63d6de078235","45-54","男性","和歌山県","弁護士","500-700万円","高卒","子供あり","アウトドア","スマホ中心"
"153d9666-8b28-4e8a-9449-9fe555bf10fe","25-34","女性","愛媛県","会社員","300-500万円","大卒","独身","スポーツ","スマホ中心"
"dcafb14c-de30-43bd-8c6a-17decb677800","55-64","その他","山形県","弁護士","1000万円以上","専門学校卒","子供あり","ペット","マルチデバイス"
"4f30d701-a9bf-47a3-8509-3c452c2ece90","45-54","その他","福島県","フリーランス","300万円未満","専門学校卒","独身","スポーツ","スマホ中心"
"4939495e-36e9-488e-a658-1bbc9194649b","35-44","女性","岡山県","教師","500-700万円","高卒","子供あり","スポーツ","PC中心"
"b58a3708-d384-4f9f-8359-e0c15549486b","55-64","その他","京都府","教師","500-700万円","専門学校卒","既婚","ゲーム","マルチデバイス"
"b7c26e59-7c96-4519-9ea8-ef1a3aedd94b","35-44","女性","和歌山県","販売員","300-500万円","大学院卒","独身","ファッション","マルチデバイス"
"d160a708-f33d-4e9f-a5d3-325f3ec1d4ad","45-54","女性","宮城県","販売員","700-1000万円","大学院卒","既婚","映画鑑賞","マルチデバイス"
"d9fc8a47-26ae-46f3-924e-3884e28bbe7f","55-64","男性","鹿児島県","学生","1000万円以上","専門学校卒","既婚","ガーデニング","PC中心"
"de6ca676-fccc-49f3-a7b3-3ef8752def5c","25-34","その他","栃木県","アーティスト","300-500万円","大卒","独身","ペット","PC中心"
"d8790a8b-5b96-4b41-b495-b77f64b2b1c9","55-64","その他","岐阜県","教師","300-500万円","高卒","独身","投資","スマホ中心"
"aacc50ff-788d-47d5-accc-bd31b6d13e20","65+","女性","高知県","会社員","300-500万円","大学院卒","独身","音楽","マルチデバイス"
"04a4cc2e-fe03-4913-8f0a-30a399033dce","35-44","その他","広島県","公務員","300万円未満","大卒","子供あり","音楽","スマホ中心"
"3c73dfeb-4503-4aa4-9b1c-e38b4b872713","18-24","男性","奈良県","主婦","300万円未満","大学院卒","既婚","プログラミング","PC中心"
"fd588c6e-f95a-40c8-b94a-ed976e866dc4","25-34","女性","岩手県","弁護士","500-700万円","高卒","独身","料理","マルチデバイス"
"9cd82ac1-0a5f-40b3-8bda-75a090c049ed","18-24","男性","熊本県","販売員","500-700万円","大学院卒","既婚","ファッション","マルチデバイス"
